"","cluster","Mean.of.log.A","Mean.of.log.B","Mean.of.log.C","Mean.of.log.D","isClusterMember","maxMembership","membership.of.cluster.1","membership.of.cluster.2","membership.of.cluster.3"
"P11240",1,-1.02659124692239,-0.0449593768298388,-0.291865521017455,1.36341614476968,TRUE,0.679699328177605,0.679699328177605,0.125413253595461,0.194887418226934
"P20280",2,1.10868184216276,-0.514436491178559,0.518234884361035,-1.11248023534523,TRUE,0.680678136362087,0.117085126155435,0.680678136362087,0.202236737482478
"P10888",1,-0.675692051961226,0.0706804130712309,-0.782718809037126,1.38773044792712,TRUE,0.682221292069212,0.682221292069212,0.113540625685178,0.20423808224561
"P70623",2,0.405179407448735,-0.558298613544979,1.19736501886647,-1.04424581277022,TRUE,0.683142040727515,0.128977379604281,0.683142040727515,0.187880579668204
"P12847",1,-0.685126579506199,0.0107111177813645,-0.735887962564606,1.41030342428944,TRUE,0.683448230593356,0.683448230593356,0.11344877842132,0.203102990985324
"Q03344",1,-0.659696754311584,0.19869768463916,-0.869286660601423,1.33028573027385,TRUE,0.683858770939341,0.683858770939341,0.110708474044892,0.205432755015767
"P11762",2,0.488807019107611,-0.25298621879045,1.03735146328237,-1.27317226359953,TRUE,0.684443444422204,0.124219312049006,0.684443444422204,0.19133724352879
"Q9Z1N4",1,-1.23313661054892,0.677449504808424,-0.380199830355978,0.93588693609647,TRUE,0.685053573465332,0.685053573465332,0.116195232633593,0.198751193901075
"P08503",1,-0.87626686802145,0.68111105824002,-0.83762293110798,1.03277874088941,TRUE,0.685775201505604,0.685775201505604,0.107844070068535,0.206380728425861
"P04906",1,-1.21582740418125,0.125221122690545,-0.129742177385399,1.22034845887611,TRUE,0.686296540365368,0.686296540365368,0.123183457624803,0.190520002009829
"O55171",1,-0.903023485685869,0.655863268295714,-0.804818477869452,1.05197869525961,TRUE,0.686922076463522,0.686922076463522,0.110643647135412,0.202434276401066
"Q63862",2,0.517652161163523,-0.748898584457472,1.15110611737193,-0.919859694077984,TRUE,0.687764916618555,0.127213071740604,0.687764916618555,0.185022011640841
"Q63797",2,0.515706069951749,-0.319354385828572,1.0447990119352,-1.24115069605838,TRUE,0.688640842438117,0.1235707014986,0.688640842438117,0.187788456063283
"Q9Z0W7",1,-0.67845705558116,0.081058873824372,-0.78635463795795,1.38375281971474,TRUE,0.690266851230988,0.690266851230988,0.109737182704953,0.199995966064059
"Q9EQP5",2,0.565080295586731,-0.720110165324766,1.11436315883433,-0.959333289096297,TRUE,0.690519532108099,0.125990116000412,0.690519532108099,0.183490351891489
"Q3KR86",1,-1.01463515897453,0.735023183280667,-0.694209895016512,0.973821870710374,TRUE,0.692727988303478,0.692727988303478,0.107713002189864,0.199559009506657
"Q2PQA9",1,-0.895317258570602,0.731349948043854,-0.82633666833981,0.990303978866558,TRUE,0.693688189683374,0.693688189683374,0.101608320479447,0.204703489837179
"Q2PS20",1,-1.24349592392201,0.228326048394248,-0.158110249511984,1.17328012503974,TRUE,0.694179394954639,0.694179394954639,0.119460504341444,0.186360100703918
"P27321",2,0.454757736352876,-0.412211456008723,1.12379716853757,-1.16634344888172,TRUE,0.694550496385447,0.122131436774889,0.694550496385447,0.183318066839664
"P02650",2,0.859635355917474,-0.838417441438135,0.871960628912477,-0.893178543391817,TRUE,0.694695398419363,0.120735617020255,0.694695398419363,0.184568984560382
"Q9Z0J5",1,-0.738642553359736,0.019681706008068,-0.68827132621593,1.4072321735676,TRUE,0.696968132943529,0.696968132943529,0.109863691378091,0.19316817567838
"P23928",1,-0.667348943380565,0.211324108857495,-0.868803014781052,1.32482784930412,TRUE,0.697027642344365,0.697027642344365,0.104683131502276,0.198289226153359
"Q9Z1H9",2,1.05993604832349,-0.653284728971853,0.623436696927137,-1.03008801627877,TRUE,0.697029827632933,0.113695974031363,0.697029827632933,0.189274198335704
"P35738",2,1.01053313280792,-0.707693603981271,0.694788442906673,-0.99762797173332,TRUE,0.697473676207136,0.115858232474101,0.697473676207136,0.186668091318763
"Q64591",1,-0.759303594569315,0.42239534080674,-0.877558932695935,1.21446718645851,TRUE,0.699656582640226,0.699656582640226,0.10579905633809,0.194544361021684
"P48037",2,0.692119996706304,-0.265489505468854,0.872842764207288,-1.29947325544474,TRUE,0.701791730301065,0.114669062156564,0.701791730301065,0.183539207542371
"P15429",2,0.891149985439135,-0.786802945464505,0.83702518561354,-0.941372225588171,TRUE,0.703541493892251,0.116249834548046,0.703541493892251,0.180208671559703
"P02454",2,0.905031785827905,-0.829835769027947,0.825380219196657,-0.900576235996614,TRUE,0.70418952366521,0.115163118168325,0.70418952366521,0.180647358166464
"P62919",1,-1.23244219332935,0.212335398496676,-0.166589411684196,1.18669620651687,TRUE,0.707152460763968,0.707152460763968,0.113299526561426,0.179548012674606
"P67779",1,-1.0883086799354,0.661645853112395,-0.588787155859945,1.01544998268295,TRUE,0.707292761439456,0.707292761439456,0.10693133017845,0.185775908382094
"O35077",1,-0.817883244179259,-0.0123322096863022,-0.581457891974591,1.41167334584015,TRUE,0.707427904326849,0.707427904326849,0.10802799234218,0.184544103330971
"P41565",1,-1.26476488982974,0.42863404896448,-0.24037411133899,1.07650495220425,TRUE,0.707608486277962,0.707608486277962,0.111680812924494,0.180710700797544
"Q5XFX0",2,0.559313372540016,-0.316198543774425,1.00929063514242,-1.25240546390801,TRUE,0.709354233703985,0.113257469150467,0.709354233703985,0.177388297145548
"P13437",1,-0.957407010055961,0.663914884832136,-0.747546962355251,1.04103908757908,TRUE,0.710027182800107,0.710027182800107,0.10176854678475,0.188204270415142
"P05065",1,-1.07735498552758,0.722543094591348,-0.614519547442156,0.969331438378388,TRUE,0.710121897700939,0.710121897700939,0.101766485845561,0.1881116164535
"O35264",2,0.569482358705203,-0.707524707040695,1.10959091884696,-0.971548570511472,TRUE,0.71095956956286,0.11597720120601,0.71095956956286,0.173063229231129
"P15999",1,-0.724107601596488,0.156337599403011,-0.78617232181351,1.35394232400699,TRUE,0.711432028316852,0.711432028316852,0.102293842451661,0.186274129231486
"O70351",1,-1.13823671948862,0.692000516614328,-0.527211519807892,0.973447722682187,TRUE,0.711840783742981,0.711840783742981,0.103330573352713,0.184828642904306
"P10536",1,-1.24610295450899,0.280305504887791,-0.188768564048309,1.15456601366951,TRUE,0.714430015565439,0.714430015565439,0.109693207925867,0.175876776508694
