"","cluster","Mean.of.log.A","Mean.of.log.B","Mean.of.log.C","Mean.of.log.D","isClusterMember","maxMembership","membership.of.cluster.1","membership.of.cluster.2","membership.of.cluster.3"
"P21807",2,1.00755050479956,-1.36243020192858,0.358625009979302,-0.00374531285027488,FALSE,0.494872714900249,0.204664399569828,0.494872714900249,0.300462885529923
"P14669",3,0.813613811530261,0.898666695863747,-0.676587382052196,-1.03569312534181,FALSE,0.495886406775568,0.201140038132223,0.302973555092209,0.495886406775568
"Q9EPX0",3,0.733756168975377,0.968231710595509,-0.656381674004518,-1.04560620556637,FALSE,0.495992590082409,0.204514619973891,0.2994927899437,0.495992590082409
"Q63258",3,-0.022590897976474,1.41878602133826,-0.775089333105415,-0.621105790256365,FALSE,0.496725437009631,0.268672020615542,0.234602542374826,0.496725437009631
"Q02874",2,-0.533725672832341,-0.103696713637454,1.43702024004486,-0.799597853575069,FALSE,0.49695587119647,0.224527561669646,0.49695587119647,0.278516567133884
"P52944",1,-1.44365824616963,0.102084773359653,0.618251625094375,0.7233218477156,FALSE,0.497096424239977,0.497096424239977,0.228257112912664,0.274646462847359
"Q63716",1,-1.03152423066447,1.23056444746227,-0.547772491684534,0.348732274886734,FALSE,0.497889107896942,0.497889107896942,0.171603546258052,0.330507345845006
"Q63569",2,1.08833269661863,-1.31313750315304,0.293969524138996,-0.0691647176045851,FALSE,0.498680385980034,0.199022263406003,0.498680385980034,0.302297350613963
"P20760",2,-0.425005494225083,0.192563413252777,1.28994907569098,-1.05750699471867,FALSE,0.499695987224828,0.213202666717963,0.499695987224828,0.287101346057209
"Q5XIJ4",3,-0.0599735127030101,1.36722739659608,-1.0228396619972,-0.284414221895869,TRUE,0.500008219804566,0.293992560237797,0.205999219957637,0.500008219804566
"P07943",1,-0.125686974479761,0.357383505041906,-1.30530994470434,1.07361341414219,TRUE,0.500221255657758,0.500221255657758,0.152869034839526,0.346909709502716
"Q6P9T8",1,-0.0705650788581804,-0.369115111915813,-0.95534398992083,1.39502418069482,TRUE,0.500502274265946,0.500502274265946,0.180020904071964,0.319476821662089
"P60711",1,-1.4128422908071,0.00773150552204512,0.611317446405478,0.793793338879579,TRUE,0.501358622898811,0.501358622898811,0.226998070206827,0.271643306894362
"Q9WUH4",3,-0.0336824751812279,1.34252933362082,-1.06669787046599,-0.242148987973597,TRUE,0.50248273524465,0.294726396662432,0.202790868092918,0.50248273524465
"P40329",3,0.833153665601106,0.17506641758682,-1.44404430814057,0.435824224952646,TRUE,0.50375849443945,0.281968195708432,0.214273309852118,0.50375849443945
"P25113",1,-0.141336993026551,0.370009394473594,-1.30113259623787,1.07246019479083,TRUE,0.504116632268175,0.504116632268175,0.151634434554506,0.344248933177319
"P16036",3,0.283966300393445,0.864276513238112,-1.44393703940052,0.295694225768959,TRUE,0.505051401580311,0.312873059935335,0.182075538484354,0.505051401580311
"Q63799",2,1.33413545605744,-0.154109626414114,-0.0899617531270758,-1.09006407651625,TRUE,0.505930899175723,0.15640647522758,0.505930899175723,0.337662625596697
"Q9JLZ1",3,0.702725020507606,0.339677523977319,-1.48231916118297,0.439916616698041,TRUE,0.506783165786196,0.290835960511827,0.202380873701977,0.506783165786196
"Q5SGE0",3,0.634521771705035,1.06257116815456,-0.729671723708569,-0.967421216151024,TRUE,0.507785108367205,0.211803527007548,0.280411364625246,0.507785108367205
"P17475",2,-0.188431950503736,-1.02019779232277,1.37674510675709,-0.168115363930579,TRUE,0.508523531726415,0.227534432786746,0.508523531726415,0.26394203548684
"P12749",3,0.956313917933676,0.769484222618582,-0.817247616079122,-0.908550524473136,TRUE,0.50873756174009,0.199017638592053,0.292244799667858,0.50873756174009
"P36970",3,0.145448674848607,1.10005973174975,-1.3274057746853,0.0818973680869483,TRUE,0.509204285375607,0.305031987687332,0.185763726937061,0.509204285375607
"P62630",1,-0.729133141911815,1.13331515503016,-0.944479069125027,0.540297056006682,TRUE,0.50923783731866,0.50923783731866,0.152413529652051,0.338348633029288
"P08733",1,-0.0757050126924025,-0.069497985273342,-1.14782810279411,1.29303110075986,TRUE,0.50976862397042,0.50976862397042,0.164161238324879,0.326070137704702
"P0C2X9",1,-1.00280094333105,1.20795752930497,-0.609620827231152,0.404464241257241,TRUE,0.509926105147392,0.509926105147392,0.165209623086355,0.324864271766253
"O88767",3,0.612427601145557,0.487241450032504,-1.49399875697727,0.394329705799209,TRUE,0.511648572503919,0.292878023301772,0.195473404194308,0.511648572503919
"P05964",2,0.646413874375567,-1.42297098946132,0.745897201961113,0.0306599131246435,TRUE,0.513215905334634,0.209074881233473,0.513215905334634,0.277709213431894
"Q6P747",2,1.2051817455036,0.036715690593303,0.00156003589687326,-1.24345747199378,TRUE,0.513273615158445,0.153860251083595,0.513273615158445,0.33286613375796
"P38652",1,-1.20368817884026,1.14723154066156,-0.31338614506162,0.369842783240312,TRUE,0.514123672708053,0.514123672708053,0.176116416322839,0.309759910969108
"O88600",2,1.34706824505792,-0.212309343460355,-0.0691360346563616,-1.06562286694121,TRUE,0.514280695477965,0.154908539036532,0.514280695477965,0.330810765485504
"P10760",3,0.672820866833128,1.03756531575136,-0.791711401350385,-0.918674781234098,TRUE,0.51464282533616,0.21131534905473,0.27404182560911,0.51464282533616
"P45953",1,-1.13707370631782,1.1744480942933,-0.423061177926636,0.38568678995115,TRUE,0.515618359978445,0.515618359978445,0.171038095110899,0.313343544910656
"Q9Z1P2",2,-0.125135311419987,0.381364953744286,1.05638404145626,-1.31261368378056,TRUE,0.51812113965604,0.190984347104481,0.51812113965604,0.290894513239479
"Q9Z269",3,0.591584816793317,1.10202872335531,-0.82038059221885,-0.873232947929777,TRUE,0.518727526998127,0.216870706926752,0.264401766075121,0.518727526998127
"P53987",3,0.190682500449899,1.32298080922427,-0.940915406047772,-0.572747903626395,TRUE,0.518811458537526,0.254327362072518,0.226861179389956,0.518811458537526
"P63029",3,0.841328519368094,0.306937173861929,-1.45125850542196,0.302992812191932,TRUE,0.518817751435537,0.268996722850404,0.212185525714059,0.518817751435537
"P62828",3,1.08615610447503,0.150545905438982,-1.33699031518311,0.100288305269096,TRUE,0.519225107937418,0.242449928235294,0.238324963827288,0.519225107937418
"Q5RKI0",1,-1.30284284624402,1.05927134854635,-0.152878765508441,0.396450263206107,TRUE,0.521313485690354,0.521313485690354,0.18032013864276,0.298366375666886
