"","Mean of log A","Mean of log B","Mean of log C","Mean of log D"
"Cluster 1",-0.828606085984552,0.315763640265417,-0.506482679245277,1.01932512496441
"Cluster 2",0.564581019162942,-0.424257584151508,0.656606998592004,-0.796930433603439
"Cluster 3",0.256070140648883,0.326945300647509,-0.505684872734265,-0.0773305685621274
