"","cluster","Mean.of.log.T0","Mean.of.log.T1","Mean.of.log.T2","Mean.of.log.T3","Mean.of.log.T4","Mean.of.log.T5","Mean.of.log.T6","Mean.of.log.T7","Mean.of.log.T8","Mean.of.log.T9","Mean.of.log.T10","Mean.of.log.T11","isClusterMember","maxMembership","membership.of.cluster.1","membership.of.cluster.2","membership.of.cluster.3","membership.of.cluster.4"
"ENSG00000125844",4,0.751674818824556,0.745418926358643,-1.82429531961863,-0.176332467613807,1.29916689292353,-0.417693146108538,-0.611843498740407,0.639489532205559,0.860439701717957,0.0935279465547044,-1.72889319475967,0.369339808256101,FALSE,0.314511042961168,0.176828769449756,0.299474002043784,0.209186185545291,0.314511042961168
"ENSG00000087258",3,-0.110952443583733,-0.365305673008019,1.83096820613038,-1.35933359894186,-0.180732677232592,-0.779033523252809,1.1985818285045,-0.0394196339561985,-0.407919576288541,-0.76082613296334,1.57251237682084,-0.598539152228624,FALSE,0.315198318263309,0.143306389736053,0.305884347582821,0.315198318263309,0.235610944417817
"ENSG00000173581",2,0.725234519608742,-0.849552469117039,1.90569482424148,-1.02967689024261,0.418137523963288,-0.877770428093837,0.038331375250125,-0.275839232050216,-0.460197612557536,0.126292840098901,1.51276473254741,-1.2334191836487,FALSE,0.315242333113985,0.158968170647545,0.315242333113985,0.23624444233624,0.28954505390223
"ENSG00000245680",4,-1.0814091751301,-0.991151793644707,-0.350780920560511,0.609695806344096,1.75763120388636,-0.267741541054525,0.803322882581752,-0.0941811438768008,0.558622080407828,1.15547404801953,-1.63589568879692,-0.463585758176014,FALSE,0.315752115883161,0.314656663122798,0.0588170355024778,0.310774185491564,0.315752115883161
"ENSG00000078018",3,-0.446242209964297,0.113998717526099,-0.729829760912474,-1.75316633789604,0.128040246266409,0.101033000807527,0.783272648123855,0.0785582325214694,0.258455297876377,2.32698312528191,-1.01490596349874,0.153803003867906,FALSE,0.315811413694964,0.271287883347806,0.117850029097714,0.315811413694964,0.295050673859517
"ENSG00000132514",4,-0.371222032520594,0.00236813539616785,-0.781791842322896,-1.38926603155408,-0.55315536383189,2.06913091284635,0.0166013491723724,-0.0626568996271505,0.232868029373018,1.77249051834938,-0.686817206987966,-0.248549568292717,FALSE,0.316243734545835,0.222516305515925,0.205133638136642,0.256106321801598,0.316243734545835
"ENSG00000163288",3,-0.204436503883813,-0.200874545716766,-0.00988653130413336,-1.17117813829284,0.320953651511577,-0.33339127386754,1.31241279782414,-0.388495894761999,-0.542436755871401,-0.783758550569602,-0.507413439330363,2.50850518426275,FALSE,0.317560346365686,0.162607143500756,0.274016654153191,0.317560346365686,0.245815855980367
"ENSG00000183647",2,-0.64030651423437,-0.734481536148607,2.64517850202434,-0.574580803403215,-0.128481308666364,-0.160198614480644,-0.196233774750028,-0.15575105588342,-0.560468401063309,-0.184865460412974,1.35306631670052,-0.662877349681929,FALSE,0.317647998263082,0.149825812461959,0.317647998263082,0.227245778110036,0.305280411164923
"ENSG00000107341",4,0.364082642180327,-0.981776514505597,-1.35909756426674,-0.246051354316428,1.99455368863997,0.929113815857781,-0.505716038932768,-0.0462866886252788,1.12306811081112,0.340937023927883,-1.13683562476408,-0.475991496006185,FALSE,0.318021272390368,0.186559567377083,0.275472736621886,0.219946423610663,0.318021272390368
"ENSG00000197928",4,-0.783216670924568,-0.984527499498747,1.69049634628352,-0.378471779574505,0.198338212813942,-1.40715859754042,0.882840358859006,-0.605297986452551,-0.488609313275454,-0.132402539822468,1.70354452608018,0.304464943052061,FALSE,0.318984258775605,0.186309022235515,0.177735094309287,0.316971624679593,0.318984258775605
"ENSG00000169856",4,0.662768170194549,-0.272180201750889,1.78903887626347,-0.403152847887542,0.00266383049711916,-2.12594824768792,-0.397120707242584,0.0520518759018757,-0.365342911297728,-0.174874803409117,1.48791388624813,-0.255816919829369,FALSE,0.319086641800341,0.155895746610827,0.314175451292439,0.210842160296393,0.319086641800341
"ENSG00000170677",4,-0.484640792319604,-1.28809505097786,-1.68159084526371,-0.280834347071825,-0.178247322334045,0.696431642925803,0.577269204650401,0.598240369689472,1.24499377776616,1.69850842161112,-0.177499397905939,-0.724535660769965,FALSE,0.319700126374245,0.30526347986209,0.0889680223348414,0.286068371428823,0.319700126374245
"ENSG00000109107",3,-0.104724323472061,1.49649078566126,-1.30366422871014,-1.12402004709039,-0.271517759402168,0.105621161659289,0.85649966126839,-0.308252856366405,-0.616338207405232,1.37352786176785,-1.19226643803025,1.08864439011986,FALSE,0.31995862529632,0.240284631801238,0.134132130354384,0.31995862529632,0.305624612548058
"ENSG00000148341",4,-0.0767110218856493,-0.836609733172131,-1.22549322904213,-0.144008874466847,0.430812296573434,2.16737445348503,-0.453984100354822,0.759429966030192,0.914763033082854,0.436899177580732,-1.2438068867237,-0.728665081106964,FALSE,0.320948442166424,0.199126660270221,0.247443961509874,0.232480936053481,0.320948442166424
"ENSG00000073712",4,-0.372815692661637,-0.350332037283271,-0.124536818593607,-0.482854084357726,0.771870606237691,-0.640082111997546,0.047435427225218,1.60571714340542,0.725143054795125,0.394877087974534,-2.36556293438867,0.791140359644463,FALSE,0.322459243969757,0.197562359965893,0.216979595937685,0.262998800126665,0.322459243969757
"ENSG00000181458",3,-0.849910878082706,-1.09742394312687,-0.624888108915085,0.695794001981215,-0.780434130876076,2.02143859829337,0.957149777976774,0.32912249229005,-0.263106564194242,1.1097878804237,-0.917284665352024,-0.580244460418106,FALSE,0.322461551227923,0.3144670926886,0.05434416537315,0.322461551227923,0.308727190710327
"ENSG00000162643",3,-0.543445206527403,2.19810685659924,-0.937104707379713,-0.818384359586435,-0.702461348625427,-0.771200897119379,0.942979575865423,0.976262223448278,-0.269520530342729,-0.330938240226254,-0.640170057037575,0.895876690931977,FALSE,0.322547786480911,0.179911039069979,0.228292681755806,0.322547786480911,0.269248492693304
"ENSG00000140983",3,0.498852918826203,-0.21783319160402,0.0388246981335869,-2.72282825852761,-0.601914433230419,0.391434499810291,1.52615879986326,-0.0160155895403699,-0.0383588174843038,0.405684525096584,0.310731780592399,0.425263068064399,FALSE,0.322616086299236,0.1583494188322,0.310890870851756,0.322616086299236,0.208143624016808
"ENSG00000148218",4,0.610929633056574,-0.0200763318084548,-1.3606854765545,-0.323370187658871,1.16251625086581,-0.606138826630244,-0.706536206086561,0.553095238107485,1.95365903687561,0.584081032736231,-1.29914215594594,-0.548332006957129,FALSE,0.322933017436755,0.191621101006233,0.274963978904161,0.210481902652851,0.322933017436755
"ENSG00000186106",4,-1.40547975903913,-0.451704938221206,-1.04791485972799,-0.591435977351216,0.0336876969569221,1.99553270416553,0.0502338499835057,-0.445504692893385,0.756130531613244,0.438003302662832,-0.714913889905643,1.38336603175653,FALSE,0.323917388134379,0.184379440228696,0.238597426180441,0.253105745456484,0.323917388134379
