"","Mean of log A","Mean of log B","Mean of log C","Mean of log D"
"Cluster 1",-0.822157843938316,0.310047062078669,-0.498293867476479,1.01040464933612
"Cluster 2",0.568174597314589,-0.382812832468482,0.622432335025958,-0.807794099872066
"Cluster 3",0.212102968233509,0.290109851997052,-0.496225432621555,-0.00598738760900527
