"","Mean of log A","Mean of log B","Mean of log C","Mean of log D"
"Cluster 1",-0.822185661321808,0.310070629671951,-0.498209910344044,1.0103249419939
"Cluster 2",0.56828792528793,-0.382622148966136,0.622323329498616,-0.80798910582041
"Cluster 3",0.211829517749647,0.289928692981705,-0.496419782340443,-0.00533842839090894
