"","Mean of log A","Mean of log B","Mean of log C","Mean of log D"
"Cluster 1",-0.828611755422254,0.31577420926464,-0.506484945871261,1.01932249202887
"Cluster 2",0.564562226469426,-0.424260265928726,0.656620517085264,-0.796922477625963
"Cluster 3",0.256123025008933,0.326919515537993,-0.505683382397925,-0.0773591581490018
