"","cluster","Mean.of.log.A","Mean.of.log.B","Mean.of.log.C","Mean.of.log.D","isClusterMember","maxMembership","membership.of.cluster.1","membership.of.cluster.2","membership.of.cluster.3"
"Q9WTT7",1,-1.22255561673122,0.776823490992555,0.856334477189782,-0.410602351451118,FALSE,0.342637291223414,0.342637291223414,0.318712398794238,0.338650309982348
"P63102",3,-1.09658973936807,0.830429584823418,0.865356334646909,-0.599196180102253,FALSE,0.344843216638708,0.318741075769928,0.336415707591363,0.344843216638708
"Q7M0E3",1,-0.237751535202779,-1.30795600637204,0.634796914993558,0.910910626581266,FALSE,0.346195366751485,0.346195366751485,0.344215142076292,0.309589491172223
"P62959",3,-1.11147501524251,0.921737797086268,0.764578478326509,-0.57484126017027,FALSE,0.350356163031511,0.326428033335185,0.323215803633304,0.350356163031511
"P05765",3,-1.07423589883272,0.941039458988321,0.756377650063607,-0.623181210219205,FALSE,0.352602793763504,0.320537489775704,0.326859716460792,0.352602793763504
"P02564",1,-1.29124213047911,0.407225819378061,1.06495216321144,-0.180935852110383,FALSE,0.352689208916682,0.352689208916682,0.327598001368158,0.31971278971516
"P70567",3,-1.17907291834308,1.1033623798076,0.479167216325917,-0.403456677790437,FALSE,0.35832263987568,0.358322203799937,0.283355156324383,0.35832263987568
"P11960",2,0.768286653302108,-1.37327190516234,-0.110336827576684,0.715322079436916,FALSE,0.360412493783596,0.285733349740507,0.360412493783596,0.353854156475897
"P18422",3,0.587017403091773,-1.26481732298012,-0.303727981502697,0.981527901391041,FALSE,0.360654843932113,0.324683201341893,0.314661954725994,0.360654843932113
"P62859",3,-1.11086660411474,1.10454447503702,0.52562489384656,-0.519302764768848,FALSE,0.362377322977493,0.341092393868254,0.296530283154253,0.362377322977493
"P15865",2,0.845317841399481,-1.3509015407395,-0.155065561516922,0.660649260856937,FALSE,0.363684291003221,0.278789262479742,0.363684291003221,0.357526446517038
"O35244",3,-0.942600836699279,1.07903247663846,0.616578229663232,-0.753009869602413,FALSE,0.366465733553317,0.30766162540172,0.325872641044963,0.366465733553317
"Q641Y2",3,-0.658721981942087,1.04056760490572,0.648839467451583,-1.03068509041521,FALSE,0.368505755790101,0.26944639275406,0.362047851455839,0.368505755790101
"Q00715",1,-0.975486617619047,-0.704959089890594,1.10433424359156,0.57611146391808,FALSE,0.369017795548869,0.369017795548869,0.335136842439381,0.29584536201175
"Q5M9I5",1,-0.398721199682967,-1.20991980266353,0.600295332589979,1.00834566975651,FALSE,0.372448553302021,0.372448553302021,0.320929227866291,0.306622218831688
"Q4V8H8",2,-0.990376331329471,-0.511646859134656,1.31196408053452,0.19005910992961,FALSE,0.372971395473436,0.330174443930529,0.372971395473436,0.296854160596035
"P09456",1,-1.34882690856007,0.633020500223665,0.869646113221733,-0.15383970488533,FALSE,0.372979718038252,0.372979718038252,0.300808193599389,0.326212088362359
"P29410",1,0.283514062509728,-1.12256801478956,-0.389007210246928,1.22806116252676,FALSE,0.37667174708218,0.37667174708218,0.273973597658869,0.349354655258952
"P10111",1,-1.36070277118647,0.662923511492294,0.831368872284789,-0.133589612590614,FALSE,0.378307367346319,0.378307367346319,0.295160833270524,0.326531799383157
"P18421",3,-0.440627912416783,1.08405540743566,0.521989827727627,-1.1654173227465,FALSE,0.378674197623988,0.251888747153576,0.369437055222436,0.378674197623988
"P31044",3,0.518125805339752,-0.885899999569846,-0.785416238181077,1.15319043241117,FALSE,0.379547428615184,0.364521140742777,0.25593143064204,0.379547428615184
"Q66HG9",3,0.528687527373817,-0.899407350936142,-0.774546156980346,1.14526598054267,FALSE,0.379768583034562,0.362252850157408,0.257978566808029,0.379768583034562
"P02262",3,0.577205983689815,-0.966365457057812,-0.715708269372901,1.1048677427409,FALSE,0.380077373456929,0.351539385031724,0.268383241511347,0.380077373456929
"P21670",3,0.806086873086992,-1.15745324851011,-0.513082652636684,0.864449028059801,FALSE,0.380224978047307,0.3071658181927,0.312609203759993,0.380224978047307
"P29147",3,0.95994417584446,-1.19225678544614,-0.445112954347543,0.677425563949227,FALSE,0.380358276033478,0.282177517881585,0.337464206084937,0.380358276033478
"P52481",3,1.07812861879728,-1.17922044752121,-0.419543459353691,0.520635288077625,FALSE,0.380720351077069,0.264462253446069,0.354817395476862,0.380720351077069
"P84817",3,1.27805083523467,-1.07119723048097,-0.417853541909344,0.210999937155639,FALSE,0.38259109529984,0.235407162435751,0.382001742264409,0.38259109529984
"P97584",1,0.273803667752207,-1.08041827100116,-0.442982941768729,1.24959754501768,FALSE,0.38270006343729,0.38270006343729,0.267233100961749,0.350066835600961
"Q04462",1,0.252472592963566,-1.08498771672392,-0.424134765760787,1.25664988952114,FALSE,0.384696163027239,0.384696163027239,0.267077062442547,0.348226774530214
"Q561S0",2,-0.29195595563046,1.03974319256994,0.507611610559439,-1.25539884749892,FALSE,0.385063115336233,0.237968995194306,0.385063115336233,0.376967889469461
"A7VJC2",2,0.042521075344945,-1.4277086802381,0.677304391903939,0.707883212989214,FALSE,0.385943492654766,0.304304238469804,0.385943492654766,0.309752268875431
"P17074",3,-0.813618258900014,1.25221104136928,0.361139230622043,-0.799732013091312,FALSE,0.387329088481363,0.303699716221263,0.308971195297374,0.387329088481363
"Q80W89",1,-1.38860650766364,0.62745796325888,0.821252679826623,-0.0601041354218674,FALSE,0.388038245442755,0.388038245442755,0.289116152902523,0.322845601654722
"Q66HF1",3,-0.662154669272374,1.21595063242532,0.404890207329366,-0.958686170482312,FALSE,0.388738996709761,0.281783769109532,0.329477234180707,0.388738996709761
"P49134",3,-0.967114563069212,1.36650763374215,0.0427791298065462,-0.442172200479485,FALSE,0.389559268247367,0.352760551444576,0.257680180308058,0.389559268247367
"P36953",2,-1.04471145516165,0.0369296695476287,1.34037224682916,-0.332590461215135,FALSE,0.390638779182659,0.302750109850541,0.390638779182659,0.3066111109668
"P11661",3,1.01400127654449,-1.09525294190164,-0.579423152426748,0.660674817783897,FALSE,0.392450695438008,0.281469225650709,0.326080078911282,0.392450695438008
"P11598",1,0.301084560576599,-0.913710960535612,-0.664980992069462,1.27760739202847,FALSE,0.394960434672437,0.394960434672437,0.24719310340586,0.357846461921703
"Q5XIB3",1,-0.974203733132857,1.39661954883484,-0.285918554631725,-0.136497261070257,FALSE,0.396349489405096,0.396349489405096,0.219170208806211,0.384480301788694
"P21533",1,-1.1610071004706,1.27175679625698,0.064133344864941,-0.174883040651325,FALSE,0.397926286186022,0.397926286186022,0.238584826260021,0.363488887553958
"Q9Z327",3,1.4238473495347,-0.822864036512246,-0.540244687119878,-0.0607386259025733,FALSE,0.39924451559682,0.216901961119347,0.383853523283834,0.39924451559682
"P63159",3,1.06262914289487,-1.01249703502632,-0.674840031796486,0.624707923927939,FALSE,0.402357741118706,0.278485203018825,0.319157055862468,0.402357741118706
"P26453",1,-0.928217175921058,1.40351004597353,-0.404410893192759,-0.0708819768597153,FALSE,0.403523950614978,0.403523950614978,0.209898850808911,0.386577198576111
"Q9Z2L0",3,0.657315623928304,-0.707989738599222,-0.990882103975011,1.04155621864593,FALSE,0.403590390048271,0.348143922662509,0.24826568728922,0.403590390048271
"P62246",3,0.484040352017557,0.884437145960691,0.0393324435093142,-1.40780994148756,FALSE,0.403983159518943,0.196250253072604,0.399766587408453,0.403983159518943
"Q5U2X7",3,0.483365463231436,-0.395542825484475,-1.18541193085588,1.09758929310892,FALSE,0.404686988515412,0.379422393618391,0.215890617866197,0.404686988515412
"P50463",1,-0.927625902520372,1.40167652612515,-0.413732844484173,-0.0603177791206025,FALSE,0.405189890332454,0.405189890332454,0.208799583175955,0.386010526491592
"P52504",3,0.517196670869277,0.871657068685931,0.0155957366629745,-1.40444947621818,FALSE,0.405605921449747,0.195044350914107,0.399349727636146,0.405605921449747
"P04642",2,0.20410079310017,0.947278036467618,0.260423790258789,-1.41180261982658,FALSE,0.405879920676402,0.206754581721775,0.405879920676402,0.387365497601822
"Q642A4",1,-0.990567498090708,1.3838391627856,-0.311600831676004,-0.0816708330188833,FALSE,0.406193858612436,0.406193858612436,0.214096992539237,0.379709148848327
"P85968",3,-0.670588273110441,1.37506139632225,-0.805765134932413,0.101292011720603,FALSE,0.40639270050986,0.406387055729942,0.187220243760198,0.40639270050986
