"","Mean of log A","Mean of log B","Mean of log C","Mean of log D"
"Cluster 1",-0.828428288351019,0.315603349860357,-0.506712985469458,1.01953792396012
"Cluster 2",0.564456520528013,-0.424838937354177,0.656773499395359,-0.796391082569195
"Cluster 3",0.256313428136376,0.327746471830573,-0.504940033075806,-0.0791198668911424
