"","cluster","Mean.of.log.A","Mean.of.log.B","Mean.of.log.C","Mean.of.log.D","isClusterMember","maxMembership","membership.of.cluster.1","membership.of.cluster.2","membership.of.cluster.3"
"Q9WTT7",1,-1.22255561673122,0.776823490992555,0.856334477189782,-0.410602351451118,FALSE,0.341441120529444,0.341441120529444,0.319695421063383,0.338863458407173
"P63102",3,-1.09658973936807,0.830429584823418,0.865356334646909,-0.599196180102253,FALSE,0.343186361491212,0.319482454836453,0.337331183672335,0.343186361491212
"Q7M0E3",1,-0.237751535202779,-1.30795600637204,0.634796914993558,0.910910626581266,FALSE,0.344386234855449,0.344386234855449,0.335621059002942,0.319992706141609
"P62959",3,-1.11147501524251,0.921737797086268,0.764578478326509,-0.57484126017027,FALSE,0.347965728542505,0.326649417386654,0.325384854070841,0.347965728542505
"P05765",3,-1.07423589883272,0.941039458988321,0.756377650063607,-0.623181210219205,FALSE,0.349620416046371,0.321291109376445,0.329088474577184,0.349620416046371
"P02564",1,-1.29124213047911,0.407225819378061,1.06495216321144,-0.180935852110383,FALSE,0.350972232568264,0.350972232568264,0.325895787806699,0.323131979625037
"P70567",3,-1.17907291834308,1.1033623798076,0.479167216325917,-0.403456677790437,FALSE,0.3564675371747,0.356319829437087,0.287212633388212,0.3564675371747
"P62859",3,-1.11086660411474,1.10454447503702,0.52562489384656,-0.519302764768848,FALSE,0.359132769579878,0.340250531815618,0.300616698604504,0.359132769579878
"P11960",3,0.768286653302108,-1.37327190516234,-0.110336827576684,0.715322079436916,FALSE,0.359473036141027,0.288044273594614,0.35248269026436,0.359473036141027
"O35244",3,-0.942600836699279,1.07903247663846,0.616578229663232,-0.753009869602413,FALSE,0.361080071762601,0.309292925996697,0.329627002240702,0.361080071762601
"P15865",3,0.845317841399481,-1.3509015407395,-0.155065561516922,0.660649260856937,FALSE,0.362488488720436,0.281599010754294,0.35591250052527,0.362488488720436
"Q4V8H8",2,-0.990376331329471,-0.511646859134656,1.31196408053452,0.19005910992961,FALSE,0.364675977171924,0.330948459886573,0.364675977171924,0.304375562941504
"Q641Y2",2,-0.658721981942087,1.04056760490572,0.648839467451583,-1.03068509041521,FALSE,0.365393136046037,0.274906425736844,0.365393136046037,0.35970043821712
"Q00715",1,-0.975486617619047,-0.704959089890594,1.10433424359156,0.57611146391808,FALSE,0.366450848542959,0.366450848542959,0.328568991052253,0.304980160404788
"Q5M9I5",1,-0.398721199682967,-1.20991980266353,0.600295332589979,1.00834566975651,FALSE,0.366691525009563,0.366691525009563,0.315491572512758,0.317816902477679
"P18422",3,0.587017403091773,-1.26481732298012,-0.303727981502697,0.981527901391041,FALSE,0.367829310179682,0.322462758335133,0.309707931485185,0.367829310179682
"P29410",1,0.283514062509728,-1.12256801478956,-0.389007210246928,1.22806116252676,FALSE,0.368924519119011,0.368924519119011,0.273435757527118,0.357639723353871
"P09456",1,-1.34882690856007,0.633020500223665,0.869646113221733,-0.15383970488533,FALSE,0.36913068991026,0.36913068991026,0.301801609002026,0.329067701087713
"A7VJC2",2,0.042521075344945,-1.4277086802381,0.677304391903939,0.707883212989214,FALSE,0.373825020101757,0.306589165956646,0.373825020101757,0.319585813941598
"P10111",1,-1.36070277118647,0.662923511492294,0.831368872284789,-0.133589612590614,FALSE,0.374295969155315,0.374295969155315,0.296314931472627,0.329389099372058
"P97584",1,0.273803667752207,-1.08041827100116,-0.442982941768729,1.24959754501768,FALSE,0.374468406531769,0.374468406531769,0.266865661853719,0.358665931614512
"P18421",2,-0.440627912416783,1.08405540743566,0.521989827727627,-1.1654173227465,FALSE,0.375174639076828,0.257822961822431,0.375174639076828,0.367002399100741
"Q04462",1,0.252472592963566,-1.08498771672392,-0.424134765760787,1.25664988952114,FALSE,0.376602451241132,0.376602451241132,0.266248294312235,0.357149254446633
"Q66HF1",3,-0.662154669272374,1.21595063242532,0.404890207329366,-0.958686170482312,FALSE,0.378052767644276,0.285971435251931,0.335975797103793,0.378052767644276
"P17074",3,-0.813618258900014,1.25221104136928,0.361139230622043,-0.799732013091312,FALSE,0.378473211420934,0.30622009848055,0.315306690098516,0.378473211420934
"P84817",3,1.27805083523467,-1.07119723048097,-0.417853541909344,0.210999937155639,FALSE,0.38004221682672,0.243675371015385,0.376282412157895,0.38004221682672
"P36953",2,-1.04471145516165,0.0369296695476287,1.34037224682916,-0.332590461215135,FALSE,0.382118527286227,0.306009762098901,0.382118527286227,0.311871710614872
"P29147",3,0.95994417584446,-1.19225678544614,-0.445112954347543,0.677425563949227,FALSE,0.382669919723388,0.284301166537917,0.333028913738695,0.382669919723388
"Q80W89",1,-1.38860650766364,0.62745796325888,0.821252679826623,-0.0601041354218674,FALSE,0.382689634432716,0.382689634432716,0.29082173034603,0.326488635221255
"P49134",3,-0.967114563069212,1.36650763374215,0.0427791298065462,-0.442172200479485,FALSE,0.383009911865441,0.351594302346734,0.265395785787824,0.383009911865441
"P52481",3,1.07812861879728,-1.17922044752121,-0.419543459353691,0.520635288077625,FALSE,0.38417590683544,0.265449943631667,0.350374149532893,0.38417590683544
"P02262",3,0.577205983689815,-0.966365457057812,-0.715708269372901,1.1048677427409,FALSE,0.384872759143437,0.345877718740748,0.269249522115815,0.384872759143437
"P31044",3,0.518125805339752,-0.885899999569846,-0.785416238181077,1.15319043241117,FALSE,0.38608838609753,0.357684928016802,0.256226685885668,0.38608838609753
"P21670",3,0.806086873086992,-1.15745324851011,-0.513082652636684,0.864449028059801,FALSE,0.386092813030963,0.305429889279865,0.308477297689172,0.386092813030963
"Q66HG9",3,0.528687527373817,-0.899407350936142,-0.774546156980346,1.14526598054267,FALSE,0.386952715350203,0.355917695502884,0.257129589146913,0.386952715350203
"P11598",1,0.301084560576599,-0.913710960535612,-0.664980992069462,1.27760739202847,FALSE,0.387153963308838,0.387153963308838,0.245181086972239,0.367664949718924
"P62755",3,-0.0389407975291494,1.13744489013407,0.192821775989106,-1.29132586859402,FALSE,0.387838111048952,0.237341849217117,0.374820039733931,0.387838111048952
"Q5XIB3",1,-0.974203733132857,1.39661954883484,-0.285918554631725,-0.136497261070257,FALSE,0.390287637741478,0.390287637741478,0.229742901228351,0.379969461030171
"Q561S0",2,-0.29195595563046,1.03974319256994,0.507611610559439,-1.25539884749892,FALSE,0.39060559501837,0.245534739989915,0.39060559501837,0.363859664991715
"Q9Z327",3,1.4238473495347,-0.822864036512246,-0.540244687119878,-0.0607386259025733,FALSE,0.391702547750918,0.225992026204345,0.382305426044737,0.391702547750918
"P21533",1,-1.1610071004706,1.27175679625698,0.064133344864941,-0.174883040651325,FALSE,0.392976301803951,0.392976301803951,0.244738930991865,0.362284767204184
"P11661",3,1.01400127654449,-1.09525294190164,-0.579423152426748,0.660674817783897,FALSE,0.395281150219022,0.28189002834808,0.322828821432897,0.395281150219022
"A0JPQ4",3,-0.798153063530559,1.41456579991769,-0.0149718595747129,-0.601440876812416,FALSE,0.395549535814732,0.328007627571518,0.27644283661375,0.395549535814732
"P26453",1,-0.928217175921058,1.40351004597353,-0.404410893192759,-0.0708819768597153,FALSE,0.395873327052912,0.395873327052912,0.222435156126316,0.381691516820772
"P50463",1,-0.927625902520372,1.40167652612515,-0.413732844484173,-0.0603177791206025,FALSE,0.396605319941832,0.396605319941832,0.222585739526804,0.380808940531364
"Q642A4",1,-0.990567498090708,1.3838391627856,-0.311600831676004,-0.0816708330188833,FALSE,0.399418821564091,0.399418821564091,0.224025429619275,0.376555748816634
"Q4V8F9",3,-0.735389850308153,1.42648327512408,-0.650130176291942,-0.0409632485239869,FALSE,0.400028877007403,0.38492651006611,0.215044612926486,0.400028877007403
"P05197",3,-0.806680466134843,1.4533670266097,-0.441430446709359,-0.205256113765502,FALSE,0.400180127028906,0.371461052224107,0.228358820746987,0.400180127028906
"P85968",3,-0.670588273110441,1.37506139632225,-0.805765134932413,0.101292011720603,FALSE,0.400644408159987,0.399156197928387,0.200199393911626,0.400644408159987
"P63159",3,1.06262914289487,-1.01249703502632,-0.674840031796486,0.624707923927939,FALSE,0.401689877391322,0.280760261897288,0.317549860711389,0.401689877391322
"P05503",1,-1.37323640326891,0.955518608862908,0.447565716305493,-0.0298479218994934,FALSE,0.402197245765094,0.402197245765094,0.262600460285567,0.335202293949339
"P63031",3,1.49135080000615,-0.533609962008834,-0.606344815216201,-0.351396022781113,FALSE,0.402383303809806,0.208097945111434,0.38951875107876,0.402383303809806
"P16290",1,0.276918870971871,-0.0851212638009298,-1.29957590901914,1.1077783018482,FALSE,0.402489107946629,0.402489107946629,0.196275062883716,0.401235829169654
"Q8CG45",3,1.47145046115324,-0.624139144658676,-0.631400254984229,-0.21591106151033,FALSE,0.403394111972645,0.218418283011281,0.378187605016075,0.403394111972645
"O08730",3,1.31416497032711,0.188825682305777,-0.519304842536431,-0.983685810096455,FALSE,0.404811309794005,0.193652446208869,0.401536243997126,0.404811309794005
"O35567",1,-0.0794176151699813,-1.10234583661795,-0.144048226856943,1.32581167864488,FALSE,0.405574584969044,0.405574584969044,0.260647477835155,0.333777937195801
"Q9Z2L0",3,0.657315623928304,-0.707989738599222,-0.990882103975011,1.04155621864593,FALSE,0.406096346945622,0.342481136240662,0.251422516813716,0.406096346945622
"P69897",3,1.45289065868013,-0.680451397169984,-0.638967947908986,-0.133471313601158,FALSE,0.406626001503671,0.219278005730646,0.374095992765683,0.406626001503671
"P84100",3,1.09399813885662,0.49619439153139,-0.412602437701228,-1.17759009268678,FALSE,0.407031038989158,0.191315918848307,0.401653042162536,0.407031038989158
"Q63362",3,0.724123291047497,0.841146682965716,-0.261538704480694,-1.30373126953252,FALSE,0.407140892341898,0.206884340064995,0.385974767593107,0.407140892341898
