"","Mean of log A","Mean of log B","Mean of log C","Mean of log D"
"Cluster 1",-0.822216909867077,0.31011022511427,-0.498185921576017,1.01029260632882
"Cluster 2",0.56827331653701,-0.382561233686848,0.622324017491028,-0.808036100341189
"Cluster 3",0.211886798993238,0.289794387724678,-0.496494603225172,-0.00518658349274412
