"","Mean of log A","Mean of log B","Mean of log C","Mean of log D"
"Cluster 1",-0.822167825061532,0.310048711559405,-0.498227207892318,1.01034632139445
"Cluster 2",0.568289006146469,-0.382664742305108,0.622329223293579,-0.80795348713494
"Cluster 3",0.211815470838793,0.290008852721763,-0.49636971228017,-0.00545461128038652
