"","Mean of log A","Mean of log B","Mean of log C","Mean of log D"
"Cluster 1",-0.822236354301622,0.310132436923477,-0.49815559864125,1.0102595160194
"Cluster 2",0.568295661936755,-0.382488462995986,0.622296529186249,-0.808103728127018
"Cluster 3",0.211841831815504,0.289693635412066,-0.496571915103722,-0.0049635521238482
