"","Mean of log A","Mean of log B","Mean of log C","Mean of log D"
"Cluster 1",-0.828488889486371,0.315648662974135,-0.506618426236499,1.01945865274873
"Cluster 2",0.564536860954712,-0.424605478450463,0.656685663015627,-0.796617045519876
"Cluster 3",0.256129342925202,0.32747433739306,-0.505236662856578,-0.0783670174616841
