"","cluster","Mean.of.log.A","Mean.of.log.B","Mean.of.log.C","Mean.of.log.D","isClusterMember","maxMembership","membership.of.cluster.1","membership.of.cluster.2","membership.of.cluster.3"
"Q66HG9",3,0.528687527373817,-0.899407350936142,-0.774546156980346,1.14526598054267,FALSE,0.379551979216056,0.362355989057635,0.25809203172631,0.379551979216056
"P02262",3,0.577205983689815,-0.966365457057812,-0.715708269372901,1.1048677427409,FALSE,0.37987926608875,0.351625698457015,0.268495035454234,0.37987926608875
"P21670",3,0.806086873086992,-1.15745324851011,-0.513082652636684,0.864449028059801,FALSE,0.380103297489393,0.307193848370548,0.312702854140059,0.380103297489393
"P29147",3,0.95994417584446,-1.19225678544614,-0.445112954347543,0.677425563949227,FALSE,0.380284459172939,0.282180378624313,0.337535162202748,0.380284459172939
"P52481",3,1.07812861879728,-1.17922044752121,-0.419543459353691,0.520635288077625,FALSE,0.380686489405343,0.264450124815261,0.354863385779396,0.380686489405343
"P84817",3,1.27805083523467,-1.07119723048097,-0.417853541909344,0.210999937155639,FALSE,0.382643886897465,0.235374935086488,0.381981178016047,0.382643886897465
"P97584",1,0.273803667752207,-1.08041827100116,-0.442982941768729,1.24959754501768,FALSE,0.38277782937519,0.38277782937519,0.26735913646566,0.34986303415915
"Q04462",1,0.252472592963566,-1.08498771672392,-0.424134765760787,1.25664988952114,FALSE,0.384773070331064,0.384773070331064,0.267203830412391,0.348023099256544
"Q561S0",2,-0.29195595563046,1.03974319256994,0.507611610559439,-1.25539884749892,FALSE,0.384892039232669,0.237903456473246,0.384892039232669,0.377204504294085
"A7VJC2",2,0.042521075344945,-1.4277086802381,0.677304391903939,0.707883212989214,FALSE,0.386111155065272,0.304246914889702,0.386111155065272,0.309641930045026
"P17074",3,-0.813618258900014,1.25221104136928,0.361139230622043,-0.799732013091312,FALSE,0.387405330744965,0.303661205792414,0.308933463462621,0.387405330744965
"Q80W89",1,-1.38860650766364,0.62745796325888,0.821252679826623,-0.0601041354218674,FALSE,0.388021541621302,0.388021541621302,0.289199583436194,0.322778874942504
"Q66HF1",3,-0.662154669272374,1.21595063242532,0.404890207329366,-0.958686170482312,FALSE,0.388865729853646,0.281731580695142,0.329402689451212,0.388865729853646
"P49134",3,-0.967114563069212,1.36650763374215,0.0427791298065462,-0.442172200479485,FALSE,0.389536749757693,0.352769465829071,0.257693784413237,0.389536749757693
"P36953",2,-1.04471145516165,0.0369296695476287,1.34037224682916,-0.332590461215135,FALSE,0.390737249493389,0.302679742883256,0.390737249493389,0.306583007623356
"P11661",3,1.01400127654449,-1.09525294190164,-0.579423152426748,0.660674817783897,FALSE,0.392378788159152,0.281479989844891,0.326141221995957,0.392378788159152
"P11598",1,0.301084560576599,-0.913710960535612,-0.664980992069462,1.27760739202847,FALSE,0.395074558597343,0.395074558597343,0.247313295536039,0.357612145866618
"Q5XIB3",1,-0.974203733132857,1.39661954883484,-0.285918554631725,-0.136497261070257,FALSE,0.396420715079345,0.396420715079345,0.219212261475461,0.384367023445195
"P21533",1,-1.1610071004706,1.27175679625698,0.064133344864941,-0.174883040651325,FALSE,0.397964923872435,0.397964923872435,0.238631041622446,0.363404034505119
"Q9Z327",3,1.4238473495347,-0.822864036512246,-0.540244687119878,-0.0607386259025733,FALSE,0.399397278559725,0.216857495063031,0.383745226377244,0.399397278559725
"P63159",3,1.06262914289487,-1.01249703502632,-0.674840031796486,0.624707923927939,FALSE,0.402292631659896,0.278499295744545,0.319208072595559,0.402292631659896
"Q9Z2L0",3,0.657315623928304,-0.707989738599222,-0.990882103975011,1.04155621864593,FALSE,0.40336434540561,0.348264847000875,0.248370807593515,0.40336434540561
"P26453",1,-0.928217175921058,1.40351004597353,-0.404410893192759,-0.0708819768597153,FALSE,0.403615467215719,0.403615467215719,0.209944914291792,0.386439618492489
