"","Mean of log A","Mean of log B","Mean of log C","Mean of log D","Sds","qvalue BvsA","qvalue CvsA","qvalue DvsA"
"P02454",0.338437850110333,-0.127109642542227,0.317063545756531,-0.146092674955367,0.477509960579939,0.412717579817069,0.997515780258928,0.288161205164568
"P02466",0.258474199591911,-0.235020818855064,0.116504230587563,-0.221667369457352,0.369150620561251,0.331761455946434,0.97907999674198,0.21064757479018
"P02563",0.132719981681194,-0.0248204276788611,-0.0878013057244724,0.54111733746741,0.42278581276951,0.563994368805788,0.975230280804772,0.297040687654552
"P02564",-0.100804546601967,0.108186820048143,0.189118066051976,0.0358152974969404,0.336362182162557,0.491197276125284,0.968338925911827,0.492519434612227
"P02650",0.36889227499973,-0.367270756850313,0.374235695622758,-0.391011537410524,0.327345478148039,0.127370962515421,0.997515780258928,0.0754091523847813
"P02651",0.255186954635096,-0.405104504421217,0.20461829078882,-0.185498799409034,0.326166014042431,0.286077056763064,0.993447009228767,0.267948028316209
"P02680",0.185371803937773,-0.250007827828139,0.940666741620006,-0.304829007822909,0.424626457823757,0.402215913007644,0.842425843791675,0.247057721853804
"P02767",0.21946946515209,-0.197931319671492,0.217329379646477,-0.4285680772171,0.364320077093446,0.359728951142889,0.997515780258928,0.124876887596582
"P02770",0.000191143156476337,-0.000878365378119771,0.263458048045439,0.0748346585043917,0.392141463543597,0.641257100634873,0.968338925911827,0.561400697054695
"P03889",0.116974239659235,0.141631988768692,-0.065295424525486,-0.248871452360249,0.157618145323989,0.612203417395923,0.968338925911827,0.124876887596582
"P04041",-0.0302514207256867,0.0359734503702309,0.117539255864321,-0.00943546138226513,0.196811358695186,0.574599841953287,0.968338925911827,0.587395079823944
"P04166",-0.278958696084008,0.087597690843841,0.0180034630007883,0.207537633622145,0.29902589128118,0.412717579817069,0.968338925911827,0.213943565260922
"P04276",0.0495045786164653,-0.231690340413403,0.55414866755197,-0.195432754509728,0.343025947928648,0.43913100398949,0.900387129373521,0.375995277222097
"P04636",-0.031664557294547,0.103765546309941,-0.0906720367115478,0.313913018097708,0.23110685771096,0.497572208230875,0.97907999674198,0.168789224835874
"P04639",0.175933073527425,0.120854541168473,0.116582331044807,-0.277718278768767,0.350258523267615,0.603797425254227,0.981946303808589,0.211136092247799
"P04642",-0.023804042095575,0.0587555256595214,-0.0175471197508901,-0.203314769174252,0.156394109108152,0.515756925576719,0.997515780258928,0.248115188974649
"P04692",0.282950965401221,0.215917452275351,0.068058775151039,0.327266096556781,0.353289010895611,0.602766008849496,0.968338925911827,0.580595648931608
"P04762",-0.639400992456407,0.385561840080833,-0.300239578588207,0.26432707941632,0.279412479396124,0.0270684870806848,0.968338925911827,0.0318114193627725
"P04764",-0.142833012945679,0.111151434450478,-0.141138200842884,0.483554927155849,0.309962317546049,0.43913100398949,0.997515780258928,0.0965630514555195
"P04785",0.0510228926937817,0.170830318433949,-0.283337340990788,0.011082471384603,0.268378424486428,0.542161057475357,0.968338925911827,0.571462185649499
"P04797",0.0887170206798613,0.0380900989951458,-0.0412153436919959,0.289037765749511,0.235799409745393,0.602766008849496,0.975230280804772,0.330996405002072
"P04897",0.111537785425383,0.137661690713627,0.0572437365493382,-0.255290341493611,0.1689877253364,0.612203417395923,0.97907999674198,0.136583522637324
"P04904",-1.08428905922184,0.2516386306613,-0.932318316847417,0.679075591712409,0.592779039651079,0.127370962515421,0.97907999674198,0.0470874248717287
"P04906",-0.101185861257556,0.0301359594908731,0.00516874606116707,0.137376012969574,0.218456878172386,0.494415885571638,0.977167816460095,0.262974652683722
"P04937",0.466133575784643,-0.536110937720518,0.586407141895164,-0.387667302458528,0.260960786880904,0.0270684870806848,0.977167816460095,0.0312732927779803
"P05065",-0.0396965456633879,0.185354049872924,0.0181741705326934,0.216211276931593,0.199968335062132,0.368347124649242,0.97907999674198,0.213151737452623
"P05197",-0.0872743099565655,0.150521442153472,-0.0488437445121135,-0.023994154708463,0.174703466313642,0.331761455946434,0.97907999674198,0.503507951804641
"P05503",-0.379946460259175,0.255802660506348,0.117131738425085,-0.0132019802997717,0.147337520238184,0.0482738905511965,0.842425843791675,0.113001895410554
"P05508",0.246849014422569,0.0819864084940413,0.0856564758258207,-0.308063297464195,0.242680812740956,0.477712797675313,0.968338925911827,0.0775841283348681
"P05544",0.396724234619899,-0.29196426276507,0.394900916553224,-0.488439194639141,0.271313388979842,0.0903593981135288,0.997515780258928,0.0312732927779803
"P05545",0.212496810914514,-0.266109926878252,0.371339800208419,-0.481097713083647,0.270758523117337,0.22361241769544,0.972942670624133,0.0656771865773397
"P05708",0.0712753369346463,-0.0194665965738031,-0.269710853252398,0.0736268637859693,0.183832648105783,0.52253157411819,0.842425843791675,0.612430500912734
"P05765",-0.114731275522914,0.0915811073365358,0.0726764858541462,-0.0685548722603846,0.150849921021485,0.383423975808567,0.968338925911827,0.5419434858445
"P05964",0.0332937038165775,-0.114485966244566,0.0403980436540295,-0.0106787436593289,0.236033233301102,0.521337277398492,0.997515780258928,0.571462185649499
"P06399",0.020849864785957,-0.380435646667656,0.864595192845171,-0.282923779377444,0.439439750360974,0.413964680032109,0.842425843791675,0.385264292082402
"P06685",0.0817475658378645,-0.000449221451583932,-0.0461631901374201,0.026987656125326,0.156133603830328,0.515756925576719,0.968338925911827,0.506068790607951
"P06761",-0.16554277515129,0.105938158050348,0.0227448556334085,0.11196932274482,0.274512924138827,0.412335746873138,0.968338925911827,0.288161205164568
"P06866",0.252500902408787,-0.557357199472937,0.84588307336373,-0.477309428203495,0.403748765784981,0.158024326052613,0.900387129373521,0.124579341608645
"P07150",0.182066970645267,-0.164026377660558,0.0205057424968387,-0.058783192542641,0.372775853087827,0.412717579817069,0.977167816460095,0.394776075981976
"P07335",0.114170328589556,-0.262333925724104,-0.0717500608388737,-0.158136024052606,0.237165358291765,0.279491542967821,0.968338925911827,0.248115188974649
"P07340",0.291749292444974,-0.00299918104841012,0.12406457548334,-0.266807900534878,0.203101550010165,0.317683159416406,0.968338925911827,0.0556636309122482
"P07483",-0.241687641022908,0.227081789877111,-0.0830446905817952,0.711126243661468,0.398183244460627,0.359460179937206,0.977167816460095,0.0753230075868248
"P07632",0.169931030045068,0.12085601485047,-0.0133925329709955,-0.265462893037314,0.165098434346649,0.58654143448667,0.968338925911827,0.0594630385351165
"P07633",-0.0623282818509491,-0.12707287560686,-0.0775505202810161,0.055828452767752,0.232498844448316,0.590786662104722,0.997515780258928,0.452593951660581
"P07871",-0.350893731945357,0.413903219249422,-0.129441638743828,0.226437725190671,0.256887394321041,0.127558601970768,0.968338925911827,0.132173648979343
"P07872",-0.911924274804368,0.127557499451368,-0.0935209791414269,1.00203978397419,0.410003948086629,0.0903593981135288,0.842425843791675,0.0102251601027621
"P07895",-0.0109024471636147,0.00963190731061277,-0.28557351609473,0.115702111131183,0.202530487640795,0.613791529040404,0.968338925911827,0.40008153816201
"P07943",-0.0660780069215224,-0.0307219453807491,-0.152414937241644,0.0216991190746215,0.187427669365399,0.602766008849496,0.977167816460095,0.469882840047095
"P08010",0.784427286366088,-0.539811768314249,0.163306572174429,-0.269081191855136,0.252288474033098,0.00826861515061347,0.842425843791675,0.0126076393149445
"P08050",-0.217681738950132,0.379652304704483,-0.101072355573021,0.0889935145544797,0.187996415741508,0.043133991257971,0.968338925911827,0.143900286946966
"P08461",-0.0688618900192092,0.122747329961771,-0.210313765008959,-0.0642013883920168,0.147436437950089,0.340834682335586,0.968338925911827,0.607766865378418
"P08503",-0.221547981779458,0.175594997896988,-0.211693489819959,0.265272878254874,0.161262480735397,0.10197726294118,0.997515780258928,0.0448463835031345
"P08649",0.109653648571726,-0.425221271337655,0.506850447473457,-0.339626047882288,0.349003744300515,0.301597274773486,0.968338925911827,0.212639584715855
"P08733",0.0936846238540897,0.0948631356254214,-0.109876532992339,0.353562905782887,0.336189305999316,0.641257100634873,0.968338925911827,0.351552231878403
"P09006",0.101034758492712,-0.00311793968488083,0.318273303787917,-0.027923880428238,0.297927332947652,0.569052208791085,0.968338925911827,0.485502220613012
"P09456",-0.154200875326111,0.0737080628929973,0.100919588853481,-0.016779465601095,0.213529864253765,0.384136185108608,0.968338925911827,0.395327745059254
"P09605",-0.088752483554857,-0.29456783518691,-0.0324411741661773,0.49824929831072,0.275399574330538,0.45512920319878,0.97907999674198,0.0899633508391092
"P09650",0.028062630676775,-0.302681731368783,0.206403990318606,0.0477082124661312,0.4733865471479,0.504430720415621,0.97907999674198,0.607766865378418
"P09812",0.0185742493229636,0.0465443916668965,-0.0220817715599828,-0.183775822729634,0.135161201281792,0.602766008849496,0.97907999674198,0.168789224835874
"P0C1X8",0.105509645793216,0.038171558482342,-0.0097670801142856,-0.0507117170250949,0.185113832907185,0.58654143448667,0.977167816460095,0.38930155513072
"P0C219",-0.150796048719091,0.197338826400692,-0.0256546924309108,0.0335650833353994,0.183545934412493,0.187421345522912,0.968338925911827,0.288615478058977
"P0C2X9",-0.0825413643586166,0.127253922752496,-0.0452295836441883,0.0510044784353929,0.205526092072204,0.402437834831472,0.981946303808589,0.394149583315423
"P0C546",0.024953004959174,0.250155857343362,-0.0666278763347483,-0.061493397601641,0.151874166752803,0.359728951142889,0.977167816460095,0.473895504524072
"P0CG51",-0.152130487576008,0.0675699917921923,0.107766278972929,0.176474997856093,0.247773536040973,0.470670482766689,0.968338925911827,0.275527802631108
"P10111",-0.137336176780482,0.0551978582081807,0.0712242684530453,-0.0205848527665473,0.21772976652669,0.421606286760757,0.968338925911827,0.44094701615915
"P10536",-0.104995836881405,0.0298471250056705,-0.0115908901012179,0.107079320450667,0.296881303631798,0.538332093204218,0.97907999674198,0.375995277222097
