"","Mean of log A","Mean of log B","Mean of log C","Mean of log D"
"Cluster 1",-0.828493878136864,0.315648120530924,-0.506601661828182,1.01944741943412
"Cluster 2",0.564565846731013,-0.424563065072446,0.656658549520496,-0.796661331179062
"Cluster 3",0.25605498413497,0.32744746777847,-0.505283649513114,-0.0782188024003263
