"","cluster","Mean.of.log.A","Mean.of.log.B","Mean.of.log.C","Mean.of.log.D","isClusterMember","maxMembership","membership.of.cluster.1","membership.of.cluster.2","membership.of.cluster.3"
"Q9WTT7",1,-1.22255561673122,0.776823490992555,0.856334477189782,-0.410602351451118,FALSE,0.342665440643415,0.342665440643415,0.318734867166959,0.338599692189626
"P63102",3,-1.09658973936807,0.830429584823418,0.865356334646909,-0.599196180102253,FALSE,0.344786884586577,0.318768071126042,0.33644504428738,0.344786884586577
"Q7M0E3",1,-0.237751535202779,-1.30795600637204,0.634796914993558,0.910910626581266,FALSE,0.346184803848404,0.346184803848404,0.344191341128625,0.309623855022972
"P62959",3,-1.11147501524251,0.921737797086268,0.764578478326509,-0.57484126017027,FALSE,0.350297335466337,0.326457827254725,0.323244837278938,0.350297335466337
"P05765",3,-1.07423589883272,0.941039458988321,0.756377650063607,-0.623181210219205,FALSE,0.352542161119644,0.320567147728427,0.326890691151928,0.352542161119644
"P02564",1,-1.29124213047911,0.407225819378061,1.06495216321144,-0.180935852110383,FALSE,0.352711344850546,0.352711344850546,0.327611924350127,0.319676730799327
"P70567",1,-1.17907291834308,1.1033623798076,0.479167216325917,-0.403456677790437,FALSE,0.358359630024813,0.358359630024813,0.28337921926198,0.358261150713207
"P11960",2,0.768286653302108,-1.37327190516234,-0.110336827576684,0.715322079436916,FALSE,0.360369393272217,0.285712473790921,0.360369393272217,0.353918132936861
"P18422",3,0.587017403091773,-1.26481732298012,-0.303727981502697,0.981527901391041,FALSE,0.360724214639191,0.324651157930108,0.314624627430701,0.360724214639191
"P62859",3,-1.11086660411474,1.10454447503702,0.52562489384656,-0.519302764768848,FALSE,0.362313082950367,0.341128307812385,0.296558609237248,0.362313082950367
"P15865",2,0.845317841399481,-1.3509015407395,-0.155065561516922,0.660649260856937,FALSE,0.363639694594777,0.278768487616779,0.363639694594777,0.357591817788445
"O35244",3,-0.942600836699279,1.07903247663846,0.616578229663232,-0.753009869602413,FALSE,0.366396483748561,0.307693543639436,0.325909972612003,0.366396483748561
"Q641Y2",3,-0.658721981942087,1.04056760490572,0.648839467451583,-1.03068509041521,FALSE,0.368429439083815,0.269473048158887,0.362097512757298,0.368429439083815
"Q00715",1,-0.975486617619047,-0.704959089890594,1.10433424359156,0.57611146391808,FALSE,0.369022008598086,0.369022008598086,0.335128471383475,0.295849520018439
"Q5M9I5",1,-0.398721199682967,-1.20991980266353,0.600295332589979,1.00834566975651,FALSE,0.372436081981519,0.372436081981519,0.320909125778182,0.306654792240298
"Q4V8H8",2,-0.990376331329471,-0.511646859134656,1.31196408053452,0.19005910992961,FALSE,0.372969619309143,0.330183409377708,0.372969619309143,0.296846971313149
"P09456",1,-1.34882690856007,0.633020500223665,0.869646113221733,-0.15383970488533,FALSE,0.373007349580291,0.373007349580291,0.300822163498591,0.326170486921118
"P29410",1,0.283514062509728,-1.12256801478956,-0.389007210246928,1.22806116252676,FALSE,0.376630619155133,0.376630619155133,0.273945484068358,0.349423896776509
"P10111",1,-1.36070277118647,0.662923511492294,0.831368872284789,-0.133589612590614,FALSE,0.378335975121093,0.378335975121093,0.29517429502256,0.326489729856347
"P18421",3,-0.440627912416783,1.08405540743566,0.521989827727627,-1.1654173227465,FALSE,0.378590226732995,0.251915046247421,0.369494727019584,0.378590226732995
"P31044",3,0.518125805339752,-0.885899999569846,-0.785416238181077,1.15319043241117,FALSE,0.379632254573779,0.364468585324195,0.255899160102026,0.379632254573779
"Q66HG9",3,0.528687527373817,-0.899407350936142,-0.774546156980346,1.14526598054267,FALSE,0.37985314474366,0.362200955999459,0.257945899256881,0.37985314474366
"P02262",3,0.577205983689815,-0.966365457057812,-0.715708269372901,1.1048677427409,FALSE,0.380160363427075,0.351490892511396,0.268348744061529,0.380160363427075
"P21670",3,0.806086873086992,-1.15745324851011,-0.513082652636684,0.864449028059801,FALSE,0.38030218034977,0.307130466641923,0.312567353008307,0.38030218034977
"P29147",3,0.95994417584446,-1.19225678544614,-0.445112954347543,0.677425563949227,FALSE,0.380432938529189,0.282148555000355,0.337418506470456,0.380432938529189
"P52481",3,1.07812861879728,-1.17922044752121,-0.419543459353691,0.520635288077625,FALSE,0.380793185857111,0.264437427372583,0.354769386770306,0.380793185857111
"P97584",1,0.273803667752207,-1.08041827100116,-0.442982941768729,1.24959754501768,FALSE,0.382656583644674,0.382656583644674,0.267205793417938,0.350137622937388
"P84817",3,1.27805083523467,-1.07119723048097,-0.417853541909344,0.210999937155639,FALSE,0.382659406237529,0.235388563329136,0.381952030433335,0.382659406237529
"Q04462",1,0.252472592963566,-1.08498771672392,-0.424134765760787,1.25664988952114,FALSE,0.384653069657058,0.384653069657058,0.267050216703384,0.348296713639557
"Q561S0",2,-0.29195595563046,1.03974319256994,0.507611610559439,-1.25539884749892,FALSE,0.385125678567584,0.237992482184506,0.385125678567584,0.37688183924791
"A7VJC2",2,0.042521075344945,-1.4277086802381,0.677304391903939,0.707883212989214,FALSE,0.385913031521544,0.304297796902447,0.385913031521544,0.309789171576009
"P17074",3,-0.813618258900014,1.25221104136928,0.361139230622043,-0.799732013091312,FALSE,0.387250195163817,0.303736945691614,0.309012859144569,0.387250195163817
"Q80W89",1,-1.38860650766364,0.62745796325888,0.821252679826623,-0.0601041354218674,FALSE,0.388066760227381,0.388066760227381,0.289127438188717,0.322805801583902
"Q66HF1",3,-0.662154669272374,1.21595063242532,0.404890207329366,-0.958686170482312,FALSE,0.388656411879866,0.281817685331204,0.32952590278893,0.388656411879866
"P49134",3,-0.967114563069212,1.36650763374215,0.0427791298065462,-0.442172200479485,FALSE,0.389484878651151,0.352806267556649,0.2577088537922,0.389484878651151
"P36953",2,-1.04471145516165,0.0369296695476287,1.34037224682916,-0.332590461215135,FALSE,0.390654077170686,0.302763994272941,0.390654077170686,0.306581928556373
"P11661",3,1.01400127654449,-1.09525294190164,-0.579423152426748,0.660674817783897,FALSE,0.392529755807321,0.281436555073163,0.326033689119516,0.392529755807321
"P11598",1,0.301084560576599,-0.913710960535612,-0.664980992069462,1.27760739202847,FALSE,0.394908356178261,0.394908356178261,0.247167013912843,0.357924629908895
"Q5XIB3",1,-0.974203733132857,1.39661954883484,-0.285918554631725,-0.136497261070257,FALSE,0.396398637899853,0.396398637899853,0.219188459739398,0.384412902360749
"P21533",1,-1.1610071004706,1.27175679625698,0.064133344864941,-0.174883040651325,FALSE,0.397971897410281,0.397971897410281,0.238602227962818,0.3634258746269
