"","Mean of log A","Mean of log B","Mean of log C","Mean of log D"
"Cluster 1",-0.822181394733978,0.310224285801801,-0.498246633650032,1.01020374258221
"Cluster 2",0.568527569209707,-0.382159045454363,0.621906468135286,-0.808274991890629
"Cluster 3",0.21194415135026,0.290166950010871,-0.49651591762634,-0.00559518373479065
