"","Mean of log A","Mean of log B","Mean of log C","Mean of log D"
"Cluster 1",-0.828425052706442,0.315598576219458,-0.506714338323633,1.01954081481061
"Cluster 2",0.564460665013077,-0.424844243107415,0.656771641475596,-0.796388063381259
"Cluster 3",0.256300673164984,0.327762510513833,-0.50493425067806,-0.0791289330007569
