"","Mean of log A","Mean of log B","Mean of log C","Mean of log D"
"Cluster 1",-0.828641277285552,0.315807443050888,-0.506458285378626,1.01929211961329
"Cluster 2",0.564555483624376,-0.424189456312883,0.65661552026147,-0.796981547572962
"Cluster 3",0.256155745955603,0.326786255374104,-0.505776460271929,-0.0771655410577785
