"","Mean of log A","Mean of log B","Mean of log C","Mean of log D"
"Cluster 1",-0.822215898643364,0.310210670552661,-0.498280213800946,1.01028544189165
"Cluster 2",0.568162038811679,-0.382482960838434,0.622294291171085,-0.80797336914433
"Cluster 3",0.212194461914923,0.289472122692166,-0.496187079143956,-0.00547950546313412
