"","Mean of log A","Mean of log B","Mean of log C","Mean of log D"
"Cluster 1",-0.828583664193762,0.315865487782352,-0.506711541933269,1.01942971834468
"Cluster 2",0.56410082999047,-0.424737763631129,0.656997436754638,-0.796360503113979
"Cluster 3",0.257339886168713,0.326992274595587,-0.505055172360938,-0.0792769884033624
