"","Mean of log A","Mean of log B","Mean of log C","Mean of log D"
"Cluster 1",-0.822174956899233,0.310215700482996,-0.498251395654512,1.01021065207075
"Cluster 2",0.568530590078573,-0.382172533161063,0.621906910350249,-0.808264967267759
"Cluster 3",0.211932221229114,0.290196401726355,-0.496501396184086,-0.0056272267713833
