"","cluster","Mean.of.log.A","Mean.of.log.B","Mean.of.log.C","Mean.of.log.D","isClusterMember","maxMembership","membership.of.cluster.1","membership.of.cluster.2","membership.of.cluster.3"
"Q99J82",3,1.09036734729641,0.544325182035761,-0.518432137010402,-1.11626039232177,FALSE,0.423398135878228,0.197315430426731,0.379286433695041,0.423398135878228
"Q6P6V0",3,-0.519741286507428,1.40312411993121,-0.872347360577147,-0.0110354728466381,FALSE,0.424185937142352,0.369611870544644,0.206202192313003,0.424185937142352
"P60901",2,0.999758449581309,0.532449670126365,-0.244975702237386,-1.28723241747029,FALSE,0.424808458300514,0.189249848740331,0.424808458300514,0.385941692959155
"P26284",3,-0.552048731231546,1.4596723736184,-0.730134478544469,-0.177489163842383,FALSE,0.425060712769766,0.35408244469135,0.220856842538884,0.425060712769766
"P02770",2,-0.676270590076743,-0.684859536878106,1.43795792471005,-0.0768277977552051,FALSE,0.425357615748603,0.280879643356494,0.425357615748603,0.293762740894903
"P47942",2,0.0244119384073626,-1.37315030453493,0.9939898240482,0.354748542079372,FALSE,0.425412124280157,0.272569384818657,0.425412124280157,0.302018490901185
"Q64536",1,-1.24867078177144,1.19984543131461,0.0247748078984623,0.0240505425583701,FALSE,0.425688911646309,0.425688911646309,0.228456061689991,0.345855026663699
"Q9ER30",3,0.82354919357449,0.822758894481269,-0.442582521895795,-1.20372556615996,FALSE,0.425965841644493,0.209690255606411,0.364343902749096,0.425965841644493
"Q63638",3,0.615481757279154,-0.424605848803438,-1.19604580297424,1.00516989449853,FALSE,0.426218531254192,0.348648616339535,0.225132852406273,0.426218531254192
"P63255",2,-0.507323103447376,0.693138730723931,0.966553899924051,-1.15236952720061,FALSE,0.426719411734266,0.245151611514364,0.426719411734266,0.32812897675137
"P68136",1,-0.723198133334644,1.31414364868263,-0.831850716539498,0.240905201191517,FALSE,0.427062268121421,0.427062268121421,0.189105575661365,0.383832156217215
"Q68FQ0",3,1.44245405902461,-0.10230459762413,-0.743762475483122,-0.596386985917363,FALSE,0.427398846086869,0.205847213794996,0.366753940118134,0.427398846086869
"Q63159",2,-0.130838896665075,-1.27672199487876,1.12936727546149,0.278193616082341,FALSE,0.427689161020675,0.274152778729897,0.427689161020675,0.298158060249428
"Q5BK81",1,-0.254565008206742,0.937158477241225,-1.29627414868664,0.613680679652157,FALSE,0.427973722297783,0.427973722297783,0.166250242130488,0.405776035571729
"P62909",3,-0.503572307087162,1.49330088180059,-0.379352205420729,-0.610376369292696,FALSE,0.428555218953146,0.311297065221007,0.260147715825847,0.428555218953146
"P85972",3,-0.131208127839539,1.38375864101433,-0.249741687977783,-1.00280882519701,FALSE,0.428646804470959,0.265169661292302,0.30618353423674,0.428646804470959
"Q8VBU2",3,1.28786954342104,-0.705845774941151,-0.871441874673088,0.289418106193196,FALSE,0.429005048386055,0.252603316132309,0.318391635481636,0.429005048386055
"B2RYW9",3,1.46113771367313,-0.228345988802215,-0.779256190055297,-0.453535534815621,FALSE,0.429452563660908,0.210564306990245,0.359983129348847,0.429452563660908
"P62278",3,1.2816891397975,0.29733937581988,-0.684165508538103,-0.894863007079282,FALSE,0.429810048494846,0.204740194750193,0.365449756754961,0.429810048494846
"Q9NQR8",3,-0.10744274387748,0.959313640238656,-1.34933443681078,0.497463540449608,FALSE,0.431498012034793,0.383649596292468,0.184852391672739,0.431498012034793
"P07633",1,-0.123189043717616,-0.958574743351368,-0.319598343138577,1.40136213020756,FALSE,0.431715928905167,0.431715928905167,0.238231708356177,0.330052362738656
"Q09073",3,-0.354854418232648,1.30594113195523,-1.07400519073979,0.122918477017206,FALSE,0.432543007102938,0.36731844631121,0.200138546585852,0.432543007102938
"Q6AXS5",2,-0.0734213683397524,0.875268942905072,0.57555811573419,-1.37740569029951,FALSE,0.433067546203365,0.220532649485007,0.433067546203365,0.346399804311628
"O35854",2,0.56501459940382,-1.48672793406183,0.611887817919841,0.30982551673817,FALSE,0.434346012034474,0.253114233429787,0.434346012034474,0.312539754535738
"P36972",2,1.3113962630322,0.117479672727169,-0.36401312008419,-1.06486281567518,FALSE,0.434830162752023,0.186363138016756,0.434830162752023,0.378806699231222
"P09812",2,0.521983767702376,0.793565524030845,0.127225906946887,-1.44277519868011,FALSE,0.43508843645774,0.199940512150093,0.43508843645774,0.364971051392167
